Trfs,Ester_24h_CNT_F_T_S29_R1_001.flexbar_q.fastq,Ester_24h_CNT_F_T_S30_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S41_R1_001.flexbar_q.fastq,Ester_24h_CNT_M_T_S42_R1_001.flexbar_q.fastq,Ester_24h_LPS_F_T_S31_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S43_R1_001.flexbar_q.fastq,Ester_24h_LPS_M_T_S44_R1_001.flexbar_q.fastq,Ester_24h_PS_F_T_S32_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S25_R1_001.flexbar_q.fastq,Ester_4h_CNT_F_T_S26_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S37_R1_001.flexbar_q.fastq,Ester_4h_CNT_M_T_S38_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S27_R1_001.flexbar_q.fastq,Ester_4h_LPS_F_T_S28_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S39_R1_001.flexbar_q.fastq,Ester_4h_LPS_M_T_S40_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S33_R1_001.flexbar_q.fastq,Ester_7d_CNT_F_T_S34_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S45_R1_001.flexbar_q.fastq,Ester_7d_CNT_M_T_S46_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S35_R1_001.flexbar_q.fastq,Ester_7d_LPS_F_T_S36_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S47_R1_001.flexbar_q.fastq,Ester_7d_LPS_M_T_S48_R1_001.flexbar_q.fastq,p_values,FDR_corrected_p_values
tRF-27-F8YKIR9NY5J,11.64,0.0,12.23,10.88,5.06,21.05,12.08,0.0,49.01,10.1,28.26,9.27,13.43,0.0,32.88,0.0,0.0,11.26,22.64,20.53,9.19,0.0,0.0,6.74,0.2479982744826247,0.8999818475133382
tRF-27-FSXMSL73VL3,20.96,26.21,12.23,10.88,22.79,56.14,20.13,14.32,81.68,20.21,28.26,4.64,0.0,4.49,65.76,11.1,12.87,22.51,15.09,41.05,5.51,25.62,21.51,26.96,0.5731216556990659,0.961875131715528
tRF-27-I3VF4YO9XEJ,20.96,69.9,16.31,32.65,17.72,98.25,24.16,47.73,16.34,25.26,9.42,78.82,0.0,22.43,24.66,72.12,38.61,50.66,37.73,34.21,16.54,29.89,32.27,13.48,0.022100688244624498,0.8839157466401707
tRF-27-J188FYRE98N,4.66,17.48,16.31,0.0,0.0,7.02,28.18,19.09,49.01,5.05,28.26,32.46,13.43,0.0,16.44,38.84,0.0,5.63,7.55,27.37,7.35,29.89,32.27,0.0,0.5953373680685303,0.9727546201183505
tRF-27-KF9MVH7P593,11.64,8.74,4.08,65.31,48.11,56.14,4.03,23.87,65.34,5.05,56.52,13.91,147.71,13.46,32.88,38.84,19.3,16.89,15.09,27.37,0.0,4.27,64.54,13.48,0.9588493237684197,0.9994822772341109
tRF-27-MN1E8Y7Z2RH,20.96,26.21,4.08,32.65,7.6,28.07,8.05,9.55,16.34,10.1,37.68,32.46,13.43,4.49,32.88,16.64,19.3,39.4,37.73,0.0,5.51,0.0,32.27,6.74,0.2758621741606006,0.8999818475133382
tRF-27-N24YDRFU8UN,4.66,43.69,4.08,0.0,10.13,7.02,8.05,28.64,49.01,15.16,28.26,23.18,40.28,22.43,16.44,38.84,6.43,28.14,15.09,6.84,5.51,4.27,0.0,20.22,0.4769872920158636,0.9268882287302744
tRF-27-PSQP4PW3FJI,4.66,0.0,12.23,0.0,43.05,0.0,16.1,33.41,49.01,10.1,0.0,4.64,67.14,13.46,24.66,22.19,25.74,11.26,15.09,6.84,7.35,0.0,64.54,20.22,0.6256837702713592,0.9810040993729577
tRF-27-Q1Q89P9L842,41.92,34.95,57.09,32.65,43.05,14.04,28.18,38.19,49.01,35.36,47.1,32.46,40.28,44.87,41.1,27.74,83.65,73.17,52.82,27.37,16.54,29.89,53.78,40.45,0.2895533953631757,0.8999818475133382
tRF-27-R29P4P9L5H2,9.32,8.74,8.16,21.77,15.19,7.02,20.13,4.77,32.67,60.62,9.42,13.91,13.43,40.38,24.66,27.74,6.43,0.0,0.0,6.84,14.7,12.81,10.76,13.48,0.005803632644197471,0.6623395755190364
tRF-27-V47P596VW6J,16.3,52.43,8.16,21.77,2.53,28.07,8.05,23.87,32.67,10.1,28.26,27.82,67.14,22.43,32.88,27.74,12.87,50.66,30.18,0.0,7.35,29.89,21.51,74.15,0.682288778835191,0.9876833352070801
tRF-27-W3FJI0E7UM5,4.66,26.21,4.08,21.77,2.53,7.02,20.13,9.55,32.67,15.16,28.26,55.64,13.43,8.97,24.66,5.55,12.87,33.77,22.64,27.37,7.35,21.35,32.27,26.96,0.6706750386754915,0.9876833352070801
tRF-27-WJ9X0UD394N,9.32,52.43,8.16,206.81,22.79,21.05,16.1,66.83,130.68,5.05,18.84,64.91,26.86,13.46,57.54,66.58,57.91,33.77,45.27,41.05,5.51,17.08,21.51,20.22,0.039527865926631024,0.8839157466401707
tRF-27-XSXMSL73VL3,95.49,305.81,101.96,315.66,164.59,238.6,140.91,100.24,196.02,75.78,292.0,120.55,214.85,94.22,156.17,105.41,96.52,146.35,226.35,116.32,106.57,89.66,129.08,87.63,0.1527570559900552,0.8999818475133382
tRF-28-18YKISQI45DM,11.64,17.48,8.16,0.0,7.6,21.05,4.03,19.09,65.34,15.16,9.42,9.27,13.43,13.46,24.66,38.84,0.0,5.63,15.09,13.68,1.84,4.27,10.76,13.48,0.48934188741928,0.9268882287302744
tRF-28-3JVIJMRPFQDS,37.26,43.69,32.63,21.77,48.11,49.12,56.36,105.01,81.68,15.16,56.52,46.37,26.86,8.97,90.42,133.15,57.91,73.17,60.36,13.68,22.05,34.16,86.06,40.45,0.7806672028186847,0.9994822772341109
tRF-28-73V2Y8L981DV,11.64,26.21,24.47,43.54,7.6,21.05,20.13,57.28,16.34,20.21,18.84,13.91,0.0,44.87,24.66,116.51,45.04,5.63,37.73,20.53,5.51,21.35,10.76,87.63,0.8763647614899214,0.9994822772341109
tRF-28-7EMQ18Y3E7D8,6.99,0.0,12.23,10.88,10.13,14.04,24.16,14.32,32.67,5.05,0.0,18.55,0.0,4.49,49.32,38.84,12.87,39.4,22.64,20.53,5.51,12.81,21.51,13.48,0.153510073182759,0.8999818475133382
tRF-28-86J8WPMN1E0J,60.55,61.16,93.8,97.96,678.6,70.18,233.51,85.92,277.7,141.45,150.71,97.37,577.41,67.3,205.49,188.63,109.39,157.6,75.45,95.79,66.15,140.89,161.35,134.82,0.612846021255037,0.976489384652441
tRF-28-86V8WPMN1E0J,44.25,69.9,89.72,97.96,415.26,49.12,108.7,42.96,392.04,60.62,75.35,32.46,523.69,125.63,139.73,94.32,109.39,118.2,90.54,61.58,53.29,93.93,75.3,53.93,0.09385913857138259,0.8839157466401707
tRF-28-93R918VBY9DV,13.97,8.74,4.08,0.0,15.19,35.09,8.05,33.41,0.0,10.1,37.68,4.64,13.43,17.95,57.54,61.03,12.87,28.14,22.64,20.53,12.86,4.27,43.03,0.0,0.5994105346552187,0.9727546201183505
tRF-28-9MV47P596V03,16.3,69.9,12.23,10.88,7.6,49.12,32.21,14.32,16.34,0.0,37.68,37.09,0.0,31.41,32.88,38.84,96.52,84.43,37.73,13.68,18.37,4.27,43.03,33.7,0.3011177843183546,0.8999818475133382
tRF-28-9N1EWJQ72SDK,25.62,26.21,28.55,54.42,12.66,28.07,16.1,23.87,0.0,25.26,18.84,60.28,40.28,22.43,16.44,55.48,19.3,5.63,37.73,20.53,9.19,46.96,32.27,53.93,0.34313803493647116,0.8999818475133382
tRF-28-D8YJE76INB0J,27.95,52.43,4.08,10.88,15.19,7.02,12.08,19.09,32.67,15.16,9.42,27.82,0.0,13.46,41.1,49.93,19.3,22.51,0.0,6.84,5.51,8.54,0.0,47.19,0.8219653497481867,0.9994822772341109
tRF-28-MBQ4NKKQBRX,2.33,8.74,8.16,32.65,10.13,49.12,4.03,14.32,16.34,10.1,0.0,9.27,26.86,4.49,16.44,5.55,25.74,16.89,15.09,20.53,1.84,21.35,10.76,20.22,0.40483480043412956,0.9268882287302744
tRF-28-MIF91SS2P4DX,9.32,17.48,0.0,32.65,5.06,14.04,0.0,14.32,0.0,10.1,18.84,41.73,0.0,4.49,24.66,22.19,6.43,33.77,15.09,0.0,3.67,4.27,10.76,13.48,0.5613978940450386,0.9598432158485398
tRF-28-MIF91SS2P4X,18.63,17.48,12.23,32.65,10.13,35.09,0.0,23.87,0.0,0.0,0.0,37.09,13.43,4.49,49.32,49.93,19.3,5.63,15.09,0.0,1.84,17.08,10.76,13.48,0.920811974458644,0.9994822772341109
tRF-28-MUWLV47PU90M,39.59,139.8,40.78,130.62,179.78,56.14,100.65,81.15,65.34,101.04,122.45,106.64,80.57,76.27,180.83,127.61,96.52,90.06,105.63,116.32,27.56,46.96,387.25,101.11,0.669126810682851,0.9876833352070801
tRF-28-N3R718YKISD8,9.32,17.48,32.63,10.88,27.85,49.12,12.08,14.32,0.0,45.47,18.84,13.91,0.0,8.97,57.54,16.64,19.3,39.4,0.0,13.68,14.7,0.0,64.54,53.93,0.5584941171849449,0.9598432158485398
tRF-28-P4R8YP9LOND5,237.55,358.24,1231.62,674.87,7064.56,687.73,1324.57,276.85,2417.59,682.0,310.84,231.84,4928.09,524.94,1043.88,1137.35,592.01,714.84,226.35,814.24,497.95,542.22,828.29,586.46,0.8984305029252466,0.9994822772341109
tRF-28-PER8YP9LOND5,16.3,17.48,48.94,43.54,149.39,21.05,56.36,4.77,114.35,101.04,28.26,0.0,255.13,8.97,57.54,33.29,70.78,33.77,22.64,82.11,18.37,34.16,21.51,40.45,0.1809331592275644,0.8999818475133382
tRF-28-PIR8YP9LOND5,11.64,17.48,57.09,43.54,250.68,21.05,48.31,28.64,163.35,55.57,28.26,0.0,201.42,49.35,115.07,66.58,64.35,90.06,0.0,82.11,31.24,38.43,43.03,40.45,0.4062272627047994,0.9268882287302744
tRF-28-PS5P4PW3FJDD,41.92,61.16,12.23,65.31,172.18,42.11,52.34,62.05,114.35,25.26,47.1,37.09,94.0,58.33,41.1,83.22,109.39,56.29,22.64,61.58,29.4,51.23,96.81,74.15,0.9902125036472385,0.9994822772341109
tRF-28-PSQP4PW3FJD0,680.05,559.2,836.03,315.66,1661.06,589.49,845.47,792.37,898.43,727.47,536.9,922.71,416.27,659.54,739.76,1154.0,785.06,849.93,535.7,218.96,516.33,486.72,484.06,788.69,0.900674242554645,0.9994822772341109
tRF-29-18YKISQI451V,41.92,78.64,12.23,54.42,25.32,63.16,28.18,57.28,147.02,10.1,75.35,120.55,53.71,71.79,164.39,127.61,45.04,90.06,30.18,27.37,9.19,51.23,32.27,94.37,0.9583169960438458,0.9994822772341109
tRF-29-34HWH3RXSIHM,251.52,594.15,138.66,402.74,276.0,280.71,318.06,315.04,620.73,146.5,546.32,486.85,375.99,170.49,443.86,665.77,276.7,298.32,399.89,266.85,119.44,170.78,441.04,303.34,0.3979913045085421,0.9268882287302744
tRF-29-389MV47P59I8,44.25,52.43,16.31,43.54,35.45,42.11,44.29,81.15,81.68,45.47,47.1,18.55,40.28,4.49,73.98,88.77,57.91,28.14,37.73,27.37,40.42,17.08,150.6,67.41,0.37824290659811977,0.9178036549141408
tRF-29-3JVIJMRPFQHX,246.87,401.93,195.75,424.51,227.89,343.87,237.54,443.92,392.04,126.3,527.48,523.95,335.7,224.33,665.78,937.62,321.75,371.49,377.26,225.8,123.11,222.01,484.06,411.2,0.891594436117326,0.9994822772341109
tRF-29-3JVIJMRPFQIX,13.97,69.9,28.55,54.42,17.72,21.05,44.29,52.51,32.67,15.16,37.68,55.64,13.43,22.43,24.66,72.12,32.17,11.26,52.82,6.84,1.84,12.81,32.27,20.22,0.43511293047692295,0.9268882287302744
tRF-29-6RJ89O9NF5JP,0.0,17.48,28.55,21.77,194.97,28.07,48.31,4.77,49.01,0.0,9.42,0.0,174.56,8.97,24.66,33.29,0.0,0.0,22.64,6.84,1.84,21.35,0.0,0.0,0.8747342711681753,0.9994822772341109
tRF-29-79MP9P9NH52Q,46.58,78.64,224.3,141.5,1015.37,140.35,193.25,38.19,408.38,227.33,84.77,37.09,953.39,116.65,197.27,116.51,193.05,168.86,98.09,177.9,95.55,102.47,129.08,148.3,0.23758757291482582,0.8999818475133382
tRF-29-86J8WPMN1EJ3,500.72,1013.55,1961.62,1589.2,15344.53,1354.41,3538.89,596.67,6060.31,793.14,1281.02,440.49,14650.0,960.15,1068.54,1037.49,997.41,979.39,814.87,506.34,374.84,661.77,1086.45,1112.25,0.9586019902738392,0.9994822772341109
tRF-29-86V8WPMN1EJ3,330.71,489.3,1300.95,1186.46,9166.2,701.77,2186.14,386.64,4002.09,515.29,781.8,310.66,9386.2,565.32,616.47,649.12,598.45,602.27,573.43,314.75,259.08,525.14,634.66,559.5,0.8367695388084767,0.9994822772341109
tRF-29-94SX73V2Y81W,16.3,8.74,12.23,97.96,22.79,70.18,20.13,14.32,49.01,15.16,28.26,32.46,13.43,31.41,8.22,66.58,57.91,16.89,7.55,13.68,11.02,8.54,53.78,53.93,0.7455341355865187,0.9989386971255404
tRF-29-9N1EWJQ72S1M,18.63,0.0,12.23,10.88,0.0,21.05,0.0,33.41,49.01,5.05,0.0,9.27,0.0,8.97,41.1,22.19,0.0,5.63,45.27,27.37,11.02,17.08,32.27,26.96,0.7214277130141218,0.9900737117501368
tRF-29-IK9NJ4S2I71V,27.95,69.9,20.39,32.65,40.51,42.11,36.23,66.83,16.34,15.16,94.19,32.46,80.57,22.43,73.98,149.8,70.78,11.26,22.64,34.21,5.51,34.16,86.06,20.22,0.9526406794322443,0.9994822772341109
tRF-29-MIF91SS2P4ER,11.64,17.48,4.08,32.65,10.13,7.02,12.08,42.96,16.34,5.05,18.84,9.27,0.0,8.97,16.44,22.19,6.43,11.26,7.55,20.53,1.84,4.27,53.78,40.45,0.353199553704573,0.8999818475133382
tRF-29-MUWLV47PU9J8,32.6,52.43,57.09,97.96,70.9,42.11,32.21,62.05,130.68,45.47,94.19,46.37,40.28,26.92,73.98,116.51,115.83,67.54,45.27,102.64,20.21,34.16,53.78,20.22,0.12343926203303596,0.8839157466401707
tRF-29-P4R8YP9LONHK,151.38,192.23,358.88,424.51,1030.56,435.1,374.42,229.12,98.01,232.39,244.9,171.56,644.55,251.26,443.86,560.35,199.48,388.38,256.53,554.23,395.06,264.71,580.88,215.71,0.9297282362766022,0.9994822772341109
tRF-29-PIR8YP9LONHK,6.99,0.0,16.31,0.0,25.32,21.05,16.1,23.87,16.34,10.1,0.0,4.64,13.43,22.43,8.22,11.1,6.43,28.14,0.0,34.21,5.51,4.27,10.76,0.0,0.3264897229466852,0.8999818475133382
tRF-29-PSQP4PW3FJF4,0.0,8.74,20.39,32.65,65.83,14.04,44.29,9.55,0.0,0.0,0.0,13.91,120.85,22.43,16.44,0.0,19.3,33.77,0.0,0.0,3.67,0.0,0.0,13.48,0.4427125977826198,0.9268882287302744
tRF-29-PSQP4PW3FJFL,53.57,78.64,159.05,174.16,1066.01,175.44,253.64,85.92,326.7,60.62,103.61,69.55,792.25,49.35,197.27,166.44,64.35,140.72,105.63,82.11,58.8,89.66,129.08,87.63,0.6929221248969195,0.9878398010213998
tRF-29-R8WP9N1EWJI5,9.32,8.74,20.39,0.0,15.19,0.0,8.05,14.32,32.67,15.16,9.42,23.18,13.43,17.95,0.0,5.55,32.17,22.51,22.64,13.68,14.7,8.54,0.0,0.0,0.0039038362681337035,0.6623395755190364
tRF-29-RRJ89O9NF5JP,46.58,131.06,191.68,174.16,2790.37,196.5,531.44,90.69,849.42,121.24,160.13,32.46,1759.07,116.65,82.2,105.41,141.57,151.97,105.63,47.9,34.91,59.77,75.3,67.41,0.16981623025549877,0.8999818475133382
tRF-29-V47P596VW61M,11.64,52.43,20.39,21.77,7.6,21.05,0.0,4.77,16.34,10.1,28.26,55.64,13.43,4.49,32.88,99.87,45.04,39.4,37.73,0.0,5.51,4.27,32.27,53.93,0.7809367200692712,0.9994822772341109
tRF-29-XSXMSL73VLH3,9.32,61.16,126.42,43.54,440.59,98.25,80.52,62.05,114.35,60.62,84.77,23.18,550.55,71.79,57.54,49.93,64.35,45.03,45.27,61.58,40.42,55.5,96.81,40.45,0.8251640709345721,0.9994822772341109
tRF-30-32VIJMRPFQJD,4.66,8.74,8.16,10.88,10.13,0.0,12.08,14.32,32.67,0.0,28.26,18.55,0.0,13.46,32.88,22.19,25.74,28.14,30.18,6.84,3.67,8.54,32.27,6.74,0.21549542512199113,0.8999818475133382
tRF-30-34HWH3RXSINH,55.89,148.54,61.17,141.5,111.41,84.21,64.42,114.56,81.68,55.57,84.77,64.91,80.57,58.33,115.07,155.35,109.39,157.6,90.54,95.79,34.91,55.5,64.54,101.11,0.132834733866923,0.8839157466401707
tRF-30-389MV47P596V,44.25,34.95,24.47,54.42,17.72,35.09,4.03,19.09,0.0,5.05,65.94,37.09,0.0,22.43,57.54,72.12,6.43,56.29,52.82,47.9,7.35,46.96,161.35,20.22,0.596910278016312,0.9727546201183505
tRF-30-3JVIJMRPFQ5D,328.38,733.95,301.79,435.4,374.75,505.27,249.61,563.25,816.75,287.96,442.71,630.59,362.56,287.15,961.69,1253.86,521.23,512.21,626.24,301.06,178.23,281.78,903.59,606.68,0.9896008074017615,0.9994822772341109
tRF-30-3JVIJMRPFQRD,23.29,43.69,8.16,43.54,12.66,28.07,44.29,62.05,81.68,20.21,18.84,37.09,26.86,22.43,24.66,116.51,32.17,39.4,15.09,6.84,20.21,12.81,64.54,33.7,0.6263978085780324,0.9810040993729577
tRF-30-86J8WPMN1E8Y,183.99,262.13,244.69,217.7,1167.3,301.76,285.85,176.61,767.75,227.33,207.22,213.29,617.69,233.31,369.88,771.18,347.49,433.41,135.81,102.64,135.97,311.67,193.63,674.09,0.7008909865651316,0.989568153140961
tRF-30-86V8WPMN1E8Y,65.21,157.28,101.96,97.96,615.3,112.28,161.04,90.69,228.69,121.24,178.97,120.55,322.27,94.22,246.59,432.75,160.87,230.78,75.45,88.95,67.99,93.93,193.63,370.75,0.6912202663418336,0.9878398010213998
tRF-30-897PVP941QKS,23.29,52.43,16.31,54.42,30.39,49.12,32.21,19.09,65.34,60.62,75.35,32.46,120.85,8.97,41.1,83.22,83.65,50.66,52.82,61.58,20.21,34.16,32.27,87.63,0.3837366238920857,0.9178036549141408
tRF-30-897PVP9N1QKS,13.97,8.74,12.23,21.77,27.85,49.12,20.13,4.77,0.0,15.16,18.84,13.91,40.28,4.49,24.66,5.55,32.17,22.51,7.55,6.84,7.35,8.54,0.0,20.22,0.38082513748848595,0.9178036549141408
tRF-30-9MV47P596VW6,11.64,78.64,20.39,10.88,5.06,28.07,16.1,4.77,49.01,20.21,9.42,4.64,40.28,8.97,32.88,16.64,12.87,11.26,15.09,6.84,7.35,12.81,21.51,20.22,0.39376114549793756,0.9241746165542853
tRF-30-FSXMSL73VL4Y,4.66,0.0,16.31,32.65,55.71,14.04,12.08,4.77,16.34,15.16,0.0,4.64,53.71,4.49,8.22,22.19,25.74,11.26,0.0,20.53,3.67,12.81,10.76,0.0,0.4214305393732725,0.9268882287302744
tRF-30-K84J83ML5FX2,13.97,0.0,8.16,0.0,25.32,14.04,28.18,38.19,32.67,10.1,94.19,27.82,0.0,4.49,24.66,61.03,32.17,28.14,15.09,20.53,3.67,4.27,21.51,6.74,0.1496781503596752,0.8999818475133382
tRF-30-KY7343RX6NMH,62.88,52.43,32.63,43.54,22.79,63.16,28.18,28.64,16.34,111.14,150.71,27.82,53.71,35.89,156.17,72.12,70.78,11.26,7.55,150.53,22.05,46.96,75.3,107.85,0.9236286396605713,0.9994822772341109
tRF-30-MIF91SS2P46I,48.91,52.43,61.17,76.19,63.3,133.34,28.18,66.83,81.68,30.31,188.39,78.82,40.28,13.46,90.42,133.15,51.48,56.29,30.18,34.21,11.02,25.62,204.38,47.19,0.6008659123171902,0.9727546201183505
tRF-30-MIF91SS2P4F1,9.32,43.69,4.08,10.88,25.32,7.02,4.03,62.05,32.67,15.16,47.1,18.55,13.43,0.0,16.44,33.29,19.3,28.14,0.0,13.68,3.67,8.54,32.27,6.74,0.8483049897354831,0.9994822772341109
tRF-30-MIF91SS2P4FI,86.17,227.18,77.49,108.85,129.14,105.27,44.29,238.67,179.69,55.57,423.87,213.29,67.14,71.79,230.15,510.42,102.96,185.75,83.0,75.27,34.91,72.58,451.79,60.67,0.721381532039282,0.9900737117501368
tRF-30-N3R718YKISQI,79.18,78.64,32.63,54.42,86.09,112.28,40.26,119.33,98.01,30.31,56.52,111.28,120.85,49.35,98.63,110.96,83.65,106.95,45.27,109.48,31.24,46.96,150.6,40.45,0.6784527436156368,0.9876833352070801
tRF-30-P4R8YP9LON4V,1888.76,1275.68,2467.31,2068.14,1737.02,1852.67,2033.15,1303.12,2156.23,2748.21,1695.47,2313.72,1651.65,1704.95,2539.84,6252.67,1640.91,1761.78,1071.41,3010.65,1905.45,1852.94,2194.42,3350.23,0.14113040291424783,0.8839157466401707
tRF-30-PER8YP9LON4V,114.12,87.38,134.58,239.47,88.62,49.12,96.62,52.51,81.68,131.35,75.35,125.19,26.86,67.3,172.61,216.37,180.18,135.09,83.0,198.43,106.57,89.66,118.33,182.0,0.3606715905108409,0.9057065641758754
tRF-30-PIR8YP9LON4V,151.38,174.75,97.88,195.93,88.62,49.12,80.52,52.51,147.02,151.56,65.94,115.92,53.71,152.55,164.39,194.18,115.83,56.29,37.73,157.37,115.76,81.12,53.78,242.67,0.18953219405733154,0.8999818475133382
tRF-30-PNR8YO9LON4V,44.25,34.95,32.63,54.42,22.79,14.04,28.18,0.0,16.34,25.26,9.42,37.09,0.0,22.43,16.44,55.48,6.43,39.4,15.09,27.37,14.7,4.27,21.51,67.41,0.7714009868402227,0.9994822772341109
tRF-30-PSQP4PW3FJI0,577.57,270.86,632.12,424.51,1060.95,687.73,720.66,520.29,914.76,495.08,480.38,593.5,1007.1,475.59,501.39,959.82,553.4,545.98,271.62,595.29,486.93,435.48,484.06,808.91,0.5280225236391256,0.9476162851095978
tRF-30-PW5SVP9N15WV,384.27,620.36,546.48,642.21,736.84,638.61,535.46,400.96,1437.49,550.65,678.19,403.39,886.25,498.02,969.91,1015.3,611.32,534.73,377.26,732.13,352.79,542.22,849.8,593.2,0.9055981875077315,0.9994822772341109
tRF-30-R8WP9N1EWJQ7,18.63,26.21,20.39,21.77,10.13,7.02,24.16,19.09,0.0,35.36,18.84,18.55,0.0,8.97,32.88,11.1,0.0,28.14,0.0,0.0,11.02,8.54,10.76,26.96,0.5083605467348402,0.9338695757925736
tRF-30-R9J89O9NF5W8,202.62,235.91,448.6,555.13,1812.98,259.65,454.94,210.03,1061.78,409.2,216.64,250.38,2349.91,255.74,534.27,1126.26,444.01,422.15,226.35,485.81,152.51,243.36,268.92,667.35,0.6044276471886637,0.9737662555827558
tRF-30-R9JP9PMNH5SY,23.29,17.48,24.47,54.42,212.7,84.21,24.16,23.87,114.35,20.21,37.68,18.55,107.42,53.84,8.22,27.74,45.04,56.29,30.18,41.05,40.42,17.08,32.27,33.7,0.2742552338049947,0.8999818475133382
tRF-30-RK9P4P9L5HMV,25.62,69.9,28.55,65.31,30.39,98.25,32.21,23.87,49.01,35.36,18.84,23.18,53.71,17.95,106.85,83.22,25.74,28.14,15.09,68.42,22.05,34.16,53.78,33.7,0.9235961086713028,0.9994822772341109
tRF-30-RRJ89O9NF5W8,55.89,87.38,134.58,76.19,663.41,105.27,169.09,100.24,326.7,95.99,103.61,64.91,751.97,53.84,147.95,327.34,102.96,67.54,45.27,88.95,44.1,111.01,64.54,195.49,0.47852496171754266,0.9268882287302744
tRF-30-V47P596VW631,79.18,113.59,73.41,76.19,40.51,105.27,48.31,66.83,147.02,35.36,113.03,148.37,53.71,58.33,123.29,227.47,90.09,146.35,98.09,95.79,23.89,89.66,107.57,182.0,0.8594565982369211,0.9994822772341109
tRF-30-W4R951KHZKL6,9.32,69.9,4.08,10.88,7.6,35.09,48.31,19.09,32.67,10.1,94.19,13.91,0.0,4.49,24.66,0.0,12.87,16.89,0.0,6.84,1.84,17.08,21.51,6.74,0.723874869112054,0.9900737117501368
tRF-30-XSXMSL73VL4Y,41.92,34.95,69.33,54.42,511.48,98.25,76.49,38.19,114.35,30.31,47.1,13.91,134.28,71.79,65.76,49.93,6.43,28.14,7.55,116.32,40.42,25.62,64.54,26.96,0.9948536095111145,0.9994822772341109
tRF-31-32VIJMRPFQJDE,16.3,34.95,24.47,32.65,7.6,21.05,4.03,14.32,0.0,0.0,94.19,23.18,0.0,4.49,8.22,16.64,45.04,28.14,0.0,20.53,3.67,8.54,64.54,0.0,0.8681577323358387,0.9994822772341109
tRF-31-389MV47P596VE,351.67,690.26,297.71,478.94,526.68,540.36,289.87,505.97,457.38,328.37,744.12,584.23,469.98,251.26,509.61,1065.23,353.92,607.9,430.07,526.86,211.31,268.98,1183.27,222.45,0.9766276887722682,0.9994822772341109
tRF-31-3IRW18V6XO59D,37.26,104.85,81.56,119.73,83.56,70.18,24.16,76.37,114.35,45.47,160.13,32.46,67.14,35.89,65.76,160.89,57.91,61.92,60.36,102.64,33.07,76.85,225.9,47.19,0.6444893126296699,0.9857115408604086
tRF-31-3JVIJMRPFQ5DD,13.97,61.16,20.39,76.19,53.17,49.12,16.1,109.79,81.68,0.0,150.71,37.09,40.28,26.92,41.1,116.51,83.65,67.54,37.73,61.58,7.35,38.43,75.3,6.74,0.30269723070186977,0.8999818475133382
tRF-31-3JVIJMRPFQ5DE,188.64,428.14,179.44,337.43,359.56,477.2,104.68,477.33,555.39,166.71,565.16,459.03,295.42,125.63,402.76,743.44,263.83,303.95,301.8,260.01,90.04,226.28,731.47,222.45,0.8107797624863281,0.9994822772341109
tRF-31-3JVIJMRPFQRDE,62.88,209.7,118.27,217.7,169.65,175.44,120.78,143.2,359.37,85.88,301.42,102.01,174.56,49.35,156.17,388.36,186.61,163.23,90.54,157.37,47.77,76.85,451.79,87.63,0.8953013890972383,0.9994822772341109
tRF-31-6978WPRLXN48E,51.24,69.9,24.47,10.88,15.19,28.07,36.23,28.64,65.34,20.21,47.1,23.18,13.43,8.97,8.22,99.87,19.3,22.51,22.64,13.68,20.21,17.08,43.03,101.11,0.31130474780731754,0.8999818475133382
tRF-31-6SXMSL73VL4YD,2477.98,2446.5,5432.17,4756.72,5555.43,2701.81,3760.32,1990.48,6615.7,3152.36,3372.11,2318.36,6996.01,3777.8,6181.11,4760.24,3204.59,2859.38,1803.28,7184.5,2802.14,2770.88,4743.82,2837.92,0.7718270977130692,0.9994822772341109
tRF-31-6XQ6S8V0JUO9E,83.84,104.85,65.25,130.62,58.24,77.19,60.39,181.39,0.0,95.99,169.55,204.02,53.71,40.38,213.71,155.35,64.35,106.95,83.0,123.16,9.19,98.2,139.84,6.74,0.4610943660479815,0.9268882287302744
tRF-31-86J8WPMN1E8Y0,281.8,340.76,240.61,272.12,364.62,364.92,338.19,329.36,343.04,293.01,433.29,268.93,483.41,273.69,723.32,1287.15,534.1,495.33,248.99,355.8,196.61,286.05,451.79,1483.0,0.5959338494374092,0.9727546201183505
tRF-31-86V8WPMN1E8Y0,267.83,270.86,171.28,250.35,260.81,217.55,241.56,267.31,408.38,287.96,301.42,157.65,550.55,287.15,410.98,1009.75,321.75,332.09,181.08,348.96,191.1,260.44,215.14,1280.77,0.499594997570633,0.9319231574007837
tRF-31-87R8WP9I1EWJ0,188.64,69.9,57.09,54.42,50.64,84.21,84.55,71.6,114.35,90.93,113.03,208.65,53.71,94.22,90.42,338.43,83.65,78.8,60.36,88.95,58.8,72.58,75.3,269.64,0.44774882249968,0.9268882287302744
